uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
04451899db4e3ee5c72ba17b,遇见好时光,美食,咖啡厅,上海市,上海市,金山区,上海市金山区新溪街2号,,1,0,121.247834,30.832699,13564506203,cater,http://api.map.baidu.com/place/detail?uid=04451899db4e3ee5c72ba17b&output=html&source=placeapi_v2,,,,,,,,,,,2,,,,,,,121.2477599868,30.832697113644,0
33227f2c5043d0758505bf7b,湖畔咖啡(金水湖1号店),美食,咖啡厅,上海市,上海市,金山区,上海市金山区志诚路368号金水湖产业社区一楼,33227f2c5043d0758505bf7b,1,0,121.316547,30.834229,(021)67277886,cater,http://api.map.baidu.com/place/detail?uid=33227f2c5043d0758505bf7b&output=html&source=placeapi_v2,94.0,09:00-24:00,3.5,,,,,,,,3,,,,,,,121.31639070113,30.833247746913,0
7a473ee0fdf1ebce3417dcb5,麦隆咖啡(金山工厂店),美食,咖啡厅,上海市,上海市,金山区,上海市金山区定业路9号,7a473ee0fdf1ebce3417dcb5,1,0,121.354582,30.837501,15821370065,cater,http://api.map.baidu.com/place/detail?uid=7a473ee0fdf1ebce3417dcb5&output=html&source=placeapi_v2,37.0,09:30-17:30,4.0,,,,,,,,0,,,,,,,121.35453989013,30.837555768519,0
6ba0a66e08e00c6a1d58005a,MELLOWER CoFFEE(定业路店),美食,咖啡厅,上海市,上海市,金山区,上海市金山区金山工业区定业路9号1幢1层A区,,1,0,121.354328,30.837443,18616272695,cater,http://api.map.baidu.com/place/detail?uid=6ba0a66e08e00c6a1d58005a&output=html&source=placeapi_v2,27.0,09:30-17:30,4.0,,,,,,,,0,,,,,,,,,0
9094a549642822d7fa42b21f,红光村星巴克,美食,咖啡厅,上海市,上海市,金山区,上海市金山区红光中心路,,1,0,121.372798,30.857141,,cater,http://api.map.baidu.com/place/detail?uid=9094a549642822d7fa42b21f&output=html&source=placeapi_v2,,,1,,,,,,,,1,,,,,,,,,0
024bb9635f0d6192ad080f54,星巴克(蓝湾天地店),美食,咖啡厅,上海市,上海市,奉贤区,上海市奉贤区海湾镇云樱路268弄1~3号蓝湾天地F1,024bb9635f0d6192ad080f54,1,0,121.74872,30.88241,(021)37519373,cater,http://api.map.baidu.com/place/detail?uid=024bb9635f0d6192ad080f54&output=html&source=placeapi_v2,41.0,07:00-22:00,3.8,,,,,,,,,,,,,,,121.74848042952,30.882230997023,0
803708f10542f06001897200,上岛咖啡(朱泾店),美食,咖啡厅,上海市,上海市,金山区,上海市金山区人民路160号5楼,,1,0,121.172951,30.902313,(021)37210888,cater,http://api.map.baidu.com/place/detail?uid=803708f10542f06001897200&output=html&source=placeapi_v2,57.0,08:30-24:00,3,,,,,,,,4,,,,,,,121.17312521133,30.902145543694,0
24d6423aab4253dc2a02e172,漫猫咖啡(五福商业广场店),美食,咖啡厅,上海市,上海市,金山区,上海市金山区东风路五福广场19号,,1,0,121.172352,30.898269,"(021)67227761,17717677006",cater,http://api.map.baidu.com/place/detail?uid=24d6423aab4253dc2a02e172&output=html&source=placeapi_v2,36.0,10:00-22:00,0,,,,,,,,1,,,,,,,121.17191073193,30.899131521832,0
9f97b1c5907ac21fb64f5465,居伊咖啡,美食,咖啡厅,上海市,上海市,金山区,上海市金山区塘园路559号,,1,0,121.168309,30.894966,(021)67329938,cater,http://api.map.baidu.com/place/detail?uid=9f97b1c5907ac21fb64f5465&output=html&source=placeapi_v2,55.0,09:00-24:00,3.3,,,,,,,,1,,,,,,,121.16848550829,30.895052046049,0
4208935af3cbb5ffdbd89157,黄金树商务咖啡,美食,咖啡厅,上海市,上海市,金山区,上海市金山区金龙新街1000号,,1,0,121.165488,30.891915,(021)37218085,cater,http://api.map.baidu.com/place/detail?uid=4208935af3cbb5ffdbd89157&output=html&source=placeapi_v2,127.0,09:00-24:00,3.5,,,,,,,,4,,,,,,,121.16548057216,30.891638274973,0
d689b7c0be1028e4430245e8,吉光咖啡馆,美食,咖啡厅,上海市,上海市,金山区,上海市金山区罗星南路434号,d689b7c0be1028e4430245e8,1,0,121.176162,30.893814,(021)67220339,cater,http://api.map.baidu.com/place/detail?uid=d689b7c0be1028e4430245e8&output=html&source=placeapi_v2,28.0,10:00-22:00,3.8,,,,,,,,2,,,,,,,121.17597974328,30.893811363028,0
189fb31f7e024040081cc77c,蓝岸咖啡(秀州街店),美食,咖啡厅,上海市,上海市,金山区,上海市金山区秀州街478号105室,189fb31f7e024040081cc77c,1,0,121.177006,30.908786,(021)67320008,cater,http://api.map.baidu.com/place/detail?uid=189fb31f7e024040081cc77c&output=html&source=placeapi_v2,,12:00-24:00,3.5,,,,,,,,1,,,,,,,,,0
b255004d873322fd5810939d,元缘咖啡,美食,咖啡厅,上海市,上海市,金山区,上海市金山区临仓街158号,b255004d873322fd5810939d,1,0,121.181447,30.899119,,cater,http://api.map.baidu.com/place/detail?uid=b255004d873322fd5810939d&output=html&source=placeapi_v2,50.0,09:00-24:00,3.5,,,,,,,,3,,,,,,,121.18147894144,30.899132621334,0
09185c56d49e7444f01937b0,哈里欧(朱泾店),美食,咖啡厅,上海市,上海市,金山区,上海市金山区罗星南路518号,,1,0,121.176667,30.895931,,cater,http://api.map.baidu.com/place/detail?uid=09185c56d49e7444f01937b0&output=html&source=placeapi_v2,73.0,09:00-24:00,0,,,,,,,,1,,,,,,,121.17653968495,30.895853300992,0
680fb70374336fe28bb98847,上岛咖啡(育秀路店),美食,咖啡厅,上海市,上海市,奉贤区,上海市奉贤区南桥镇育秀路1337号,680fb70374336fe28bb98847,1,0,121.456096,30.910659,(021)57101777,cater,http://api.map.baidu.com/place/detail?uid=680fb70374336fe28bb98847&output=html&source=placeapi_v2,65.0,08:00-24:00,3.5,,,,,,,,12,,,,,,,121.45603977555,30.910824989687,0
eca0a1e7d99cc0759d95de0f,南爵咖啡,美食,咖啡厅,上海市,上海市,奉贤区,上海市奉贤区金海公路1611号南方国际1区1号,eca0a1e7d99cc0759d95de0f,1,0,121.506875,30.894876,,cater,http://api.map.baidu.com/place/detail?uid=eca0a1e7d99cc0759d95de0f&output=html&source=placeapi_v2,17.0,07:30-19:30,3.5,,,,,,,,0,,,,,,,121.50696497901,30.894898584614,0
e9c18715c5337cb1a1a934d4,MEETWITH COFFEE,美食,咖啡厅,上海市,上海市,奉贤区,上海市奉贤区百秀路中企联合大厦,,1,0,121.494444,30.918084,,cater,http://api.map.baidu.com/place/detail?uid=e9c18715c5337cb1a1a934d4&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
ce20f73e9a591579db13186d,KING CAFE(上海双高商务广场店),美食,咖啡厅,上海市,上海市,松江区,上海市松江区叶政路451弄39号上海双高商务广场F1,ce20f73e9a591579db13186d,1,0,121.324912,30.947947,,cater,http://api.map.baidu.com/place/detail?uid=ce20f73e9a591579db13186d&output=html&source=placeapi_v2,,10:00-23:00,5,,,,,,,,2,,,,,,,121.32383932286,30.948685980568,0
0ab7d9a60c2a29f159bbbc11,TAKE A BREAK COFFEE LAB,美食,咖啡厅,上海市,上海市,奉贤区,上海市奉贤区韩村路686号,,1,0,121.462256,30.945126,19117395818,cater,http://api.map.baidu.com/place/detail?uid=0ab7d9a60c2a29f159bbbc11&output=html&source=placeapi_v2,,07:00-18:00,,,,,,,,,1,,,,,,,121.46230551307,30.944986870936,0
744898135d82ab6326e0a0e4,上岛咖啡(南桥新建西路店),美食,咖啡厅,上海市,上海市,奉贤区,上海市奉贤区新建西路186号四区2楼,744898135d82ab6326e0a0e4,1,0,121.457026,30.922243,(021)57103777,cater,http://api.map.baidu.com/place/detail?uid=744898135d82ab6326e0a0e4&output=html&source=placeapi_v2,104.0,09:00-24:00,3.7,,,,,,,,73,,,,,,,121.45714815249,30.922426645639,0
a40258f24e532214b6147ffa,8点咖啡(奉贤宝龙城市广场店),美食,咖啡厅,上海市,上海市,奉贤区,上海市奉贤区航南公路5639号奉贤宝龙城市广场F1,,1,0,121.469388,30.935619,13761813032,cater,http://api.map.baidu.com/place/detail?uid=a40258f24e532214b6147ffa&output=html&source=placeapi_v2,27.0,09:30-20:00,3.8,,,,,,,,0,,,,,,,,,0
42d8bf5b9c6b749c22022086,星巴克(南桥新都汇店),美食,咖啡厅,上海市,上海市,奉贤区,上海市奉贤区环城东路681-707(单号)C-1号,42d8bf5b9c6b749c22022086,1,0,121.469341,30.940152,(021)67101752,cater,http://api.map.baidu.com/place/detail?uid=42d8bf5b9c6b749c22022086&output=html&source=placeapi_v2,35.0,07:00-22:00,3.7,,,,,,,31,2,,,,,,,121.46925500302,30.940066810611,0
3ee875bf765fb5b6095cb350,星巴克(美谷美购广场店),美食,咖啡厅,上海市,上海市,奉贤区,上海市奉贤区年丰路39弄美谷美购广场一层2号、23号,,1,0,121.490123,30.936111,(021)57180615,cater,http://api.map.baidu.com/place/detail?uid=3ee875bf765fb5b6095cb350&output=html&source=placeapi_v2,,07:00-22:00,3.5,,,,,,,,,,,,,,,,,0
ec7fb00229c2dcfb276e9818,悠仙蓝山咖啡(聚润广场店),美食,咖啡厅,上海市,上海市,奉贤区,上海市奉贤区德丰路9弄130号,ec7fb00229c2dcfb276e9818,1,0,121.495078,30.930495,(021)67195577,cater,http://api.map.baidu.com/place/detail?uid=ec7fb00229c2dcfb276e9818&output=html&source=placeapi_v2,204.0,09:00-22:00,3.6,,,,,,,,0,,,,,,,121.49363776068,30.930246866839,0
383850686de19e12d8d891d4,一尺花园咖啡(九棵树未来艺术中心店),美食,咖啡厅,上海市,上海市,奉贤区,上海市奉贤区树桓路99号,,1,0,121.490961,30.946171,15317226330,cater,http://api.map.baidu.com/place/detail?uid=383850686de19e12d8d891d4&output=html&source=placeapi_v2,132.0,10:00-21:00,4.5,,,,,,,,,,,,,,,121.49077151753,30.946481628234,0
aa40108b770c5f0cc5effbd6,蓝杉咖啡(奉贤店),美食,咖啡厅,上海市,上海市,奉贤区,上海市奉贤区百顺路1456号,aa40108b770c5f0cc5effbd6,1,0,121.488832,30.920558,(021)61909277,cater,http://api.map.baidu.com/place/detail?uid=aa40108b770c5f0cc5effbd6&output=html&source=placeapi_v2,64.0,09:00-24:00,5,,,,,,,,4,,,,,,,121.4886954239,30.920508621438,0
a85399c25c73f3ef39e4a657,群逸咖啡屋,美食,咖啡厅,上海市,上海市,奉贤区,上海市奉贤区南奉公路8678号,,1,0,121.485694,30.921767,18016041717,cater,http://api.map.baidu.com/place/detail?uid=a85399c25c73f3ef39e4a657&output=html&source=placeapi_v2,,10:00-22:00,,,,,,,,,,,,,,,,121.48574943727,30.921575221122,0
335d97b54c48d52902897204,Aichi咖啡,美食,咖啡厅,上海市,上海市,奉贤区,上海市奉贤区南桥运河北路102号,,1,0,121.477122,30.932431,,cater,http://api.map.baidu.com/place/detail?uid=335d97b54c48d52902897204&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
e9c18715c5337cb1a1a934d4,MEETWITH COFFEE,美食,咖啡厅,上海市,上海市,奉贤区,上海市奉贤区百秀路中企联合大厦,,1,0,121.494444,30.918084,,cater,http://api.map.baidu.com/place/detail?uid=e9c18715c5337cb1a1a934d4&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
1f7576e888b4691a167643fc,泰摩咖啡,美食,咖啡厅,上海市,上海市,奉贤区,上海市奉贤区奉城镇路口村827号泰摩咖啡,,1,0,121.622671,30.940419,,cater,http://api.map.baidu.com/place/detail?uid=1f7576e888b4691a167643fc&output=html&source=placeapi_v2,,09:00-20:00,,,,,,,,,,,,,,,,121.62301145703,30.939973180332,0
7572594cf88a6e3ab23c8164,CAVCCOFFEE,美食,咖啡厅,上海市,上海市,奉贤区,上海市奉贤区洪运路运河新村(洪庙)东侧约100米,,1,0,121.694112,30.926857,,cater,http://api.map.baidu.com/place/detail?uid=7572594cf88a6e3ab23c8164&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
4f70f766703d411515c9052e,后政品皇咖啡,美食,咖啡厅,上海市,上海市,奉贤区,上海市奉贤区茂园路888号,4f70f766703d411515c9052e,1,0,121.483713,30.970698,,cater,http://api.map.baidu.com/place/detail?uid=4f70f766703d411515c9052e&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
a41cc9ba9e38563072455b41,瑞幸咖啡(鹿都国际购物广场店),美食,咖啡厅,上海市,上海市,松江区,上海市松江区松汇中路568号鹿都国际购物广场F1,a41cc9ba9e38563072455b41,1,0,121.241194,31.010548,4000100100,cater,http://api.map.baidu.com/place/detail?uid=a41cc9ba9e38563072455b41&output=html&source=placeapi_v2,20.0,09:30-21:00,4.0,,,,,,,,1,,,,,,,121.24140456066,31.010327771367,0
0bdb55847e14894094ca07e9,海琴岛咖啡(中山中路店),美食,咖啡厅,上海市,上海市,松江区,上海市松江区中山中路209号,0bdb55847e14894094ca07e9,1,0,121.237061,31.01211,(021)57826699,cater,http://api.map.baidu.com/place/detail?uid=0bdb55847e14894094ca07e9&output=html&source=placeapi_v2,30.0,09:30-23:00,3.6,,,,,,,,,,,,,,,121.23698515626,31.012124188569,0
86d85bcce3a2aa1ea80dd89b,星巴克(乐颂坊店),美食,咖啡厅,上海市,上海市,松江区,上海市松江区松汇中路568号乐颂坊B座1层,86d85bcce3a2aa1ea80dd89b,1,0,121.242062,31.011524,(021)37017545,cater,http://api.map.baidu.com/place/detail?uid=86d85bcce3a2aa1ea80dd89b&output=html&source=placeapi_v2,35.0,07:00-22:00,4.2,,,,,,,18,7,,,,,,,121.24210985265,31.011708623487,0
4ffb36a9413847da9ff7791d,四月天Coffee&Bar(云间粮仓店),美食,咖啡厅,上海市,上海市,松江区,上海市松江区松汇东路327号194,,1,0,121.247295,31.005756,18325796253,cater,http://api.map.baidu.com/place/detail?uid=4ffb36a9413847da9ff7791d&output=html&source=placeapi_v2,38.0,10:00-22:00,4.2,,,,,,,,1,,,,,,,121.24758982618,31.005757408272,0
3c73180268750b42725e80f1,漫走时光,美食,咖啡厅,上海市,上海市,松江区,上海市松江区中山中路岳庙街8号,,1,0,121.239537,31.013252,18117577782,cater,http://api.map.baidu.com/place/detail?uid=3c73180268750b42725e80f1&output=html&source=placeapi_v2,38.0,10:00-22:00,3.9,,,,,,,,1,,,,,,,121.23962578908,31.013247507022,0
9ee7cc787b9b366917c905b6,侬好咖啡厅,美食,咖啡厅,上海市,上海市,松江区,上海市松江区影视路18号,9ee7cc787b9b366917c905b6,1,0,121.321626,31.019183,,cater,http://api.map.baidu.com/place/detail?uid=9ee7cc787b9b366917c905b6&output=html&source=placeapi_v2,49.0,09:00-24:00,3.6,,,,,,,,10,,,,,,,121.3216131466,31.019022762466,0
588f76767f0a5d0f8bdb7316,咖啡思绪,美食,咖啡厅,上海市,上海市,闵行区,上海市闵行区文井路105号,,1,0,121.389856,31.003875,(021)54856252,cater,http://api.map.baidu.com/place/detail?uid=588f76767f0a5d0f8bdb7316&output=html&source=placeapi_v2,40.0,08:00-18:00,3.7,,,,,,,,0,,,,,,,121.38994189468,31.003899612025,0
bf23822035eb368ef603b8ee,星巴克(上海寰悦广场店),美食,咖啡厅,上海市,上海市,闵行区,上海市闵行区鹤庆路90号A4单元,bf23822035eb368ef603b8ee,1,0,121.410593,31.012179,(021)54325872,cater,http://api.map.baidu.com/place/detail?uid=bf23822035eb368ef603b8ee&output=html&source=placeapi_v2,32.0,07:00-22:00,4.1,,,,,,,,2,,,,,,,121.41033756556,31.011705329291,0
742518cd07cd29622ce67bc1,AIRCITYCOFFEE(空中城市咖啡屋),美食,咖啡厅,上海市,上海市,奉贤区,上海市奉贤区沪杭公路28弄1号楼4号1-404,2e8267da4403b0bc2fb96d52,1,0,121.438555,30.99521,"13918791800,18017712363",cater,http://api.map.baidu.com/place/detail?uid=742518cd07cd29622ce67bc1&output=html&source=placeapi_v2,33.0,09:30-21:30,3.8,,,,,,,,0,,,,,,,121.43885559538,30.995127776214,0
8e28e1b4f8646b57f5e73b97,星巴克(上海松江华亭首府店),美食,咖啡厅,上海市,上海市,松江区,上海市松江区文涵路295号一层,,1,0,121.193847,31.035957,(021)57899357,cater,http://api.map.baidu.com/place/detail?uid=8e28e1b4f8646b57f5e73b97&output=html&source=placeapi_v2,39.0,07:00-22:00,3.5,,,,,,,,,,,,,,,,,0
0e7b15d0150f03581d580045,星巴克臻选(泰晤士小镇店),美食,咖啡厅,上海市,上海市,松江区,上海市松江区文诚路1480号1楼121~124室,0e7b15d0150f03581d580045,1,0,121.203053,31.036146,(021)37652102,cater,http://api.map.baidu.com/place/detail?uid=0e7b15d0150f03581d580045&output=html&source=placeapi_v2,54.0,07:00-22:00,4.5,,,,,,,,200,,,,,,,121.20315226955,31.036331765036,0
7e0de3d4cab92ab2d0ff2364,思想家咖啡书廊,美食,咖啡厅,上海市,上海市,松江区,上海市松江区三新北路900弄泰晤士小镇1050号,7e0de3d4cab92ab2d0ff2364,1,0,121.202814,31.040783,(021)33559599,cater,http://api.map.baidu.com/place/detail?uid=7e0de3d4cab92ab2d0ff2364&output=html&source=placeapi_v2,165.0,09:00-21:00,4.6,,,,,,,,3,,,,,,,121.20290037797,31.040872361381,0
50501bae5e0edabd31870ab4,花语森咖(泰晤士新乐坊店),美食,咖啡厅,上海市,上海市,松江区,上海市松江区松江区文诚路1480号,50501bae5e0edabd31870ab4,1,0,121.20329,31.035675,"(021)67606709,13764514687",cater,http://api.map.baidu.com/place/detail?uid=50501bae5e0edabd31870ab4&output=html&source=placeapi_v2,63.0,09:00-22:00,3.8,,,,,,,,100,,,,,,,121.20315226955,31.036331765036,0
abda393e0a083d5a7369d3fc,上咖咖啡,美食,咖啡厅,上海市,上海市,松江区,上海市松江区三新北路900弄626号,abda393e0a083d5a7369d3fc,1,0,121.204458,31.04013,18117101689,cater,http://api.map.baidu.com/place/detail?uid=abda393e0a083d5a7369d3fc&output=html&source=placeapi_v2,48.0,10:00-18:00,3,,,,,,,,3,,,,,,,,,0
59e0ab776fcccc82c36c14b2,LEISURE CAFE(维多利亚大街店),美食,咖啡厅,上海市,上海市,松江区,上海市松江区泰晤士小镇618号(近立诗顿酒店),59e0ab776fcccc82c36c14b2,1,0,121.205533,31.039865,(021)37771979,cater,http://api.map.baidu.com/place/detail?uid=59e0ab776fcccc82c36c14b2&output=html&source=placeapi_v2,43.0,10:00-21:00,0,,,,,,,,1,,,,,,,121.20548690179,31.039729850955,0
b4524b7a2894da7dab175a2e,晨岛咖啡,美食,咖啡厅,上海市,上海市,松江区,上海市松江区新松江路1弄3楼,b4524b7a2894da7dab175a2e,1,0,121.208409,31.045553,(021)67827878,cater,http://api.map.baidu.com/place/detail?uid=b4524b7a2894da7dab175a2e&output=html&source=placeapi_v2,122.0,09:00-01:00,3.5,,,,,,,,0,,,,,,,121.20850013827,31.04547006277,0
