uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
9cd73b6f5d0eb3c1246e98d1,武汉市广播电视大学(汉南区分校),教育培训,高等院校,湖北省,武汉市,汉南区,湖北武汉市汉南区育才路186号,9cd73b6f5d0eb3c1246e98d1,1,0,114.081068,30.31613,,education,http://api.map.baidu.com/place/detail?uid=9cd73b6f5d0eb3c1246e98d1&output=html&source=placeapi_v2,,,0.0,,,,,,,,,,,,,,,114.08126638483,30.315900163275,0
4dd9f1c3310b9784354aae80,大学城金街,购物,其他,湖北省,武汉市,汉南区,湖北省武汉市汉南区马影河大道59号金街3号楼2楼,4dd9f1c3310b9784354aae80,1,0,114.057618,30.328124,,shopping,http://api.map.baidu.com/place/detail?uid=4dd9f1c3310b9784354aae80&output=html&source=placeapi_v2,,,3,,,,,,,,1,,,,,,,114.0583867465,30.328585958327,0
2a97c30a8a5aa721d5b74e3f,武汉大学人民医院(经开医院)-北门,出入口,门,湖北省,武汉市,汉南区,武汉市汉南区兴城大道275号,2a97c30a8a5aa721d5b74e3f,1,0,114.079275,30.320357,,life,http://api.map.baidu.com/place/detail?uid=2a97c30a8a5aa721d5b74e3f&output=html&source=placeapi_v2,,,0.0,,,,,,,0,,,,,,,,114.07927428546,30.320402721339,0
517b09b6c18c89bfc4f0258b,湖北国土资源职业学院汉南新校区-大学生服务中心,教育培训,其他,湖北省,武汉市,汉南区,湖北省武汉市汉南区育才路湖北国土资源职业学院内,517b09b6c18c89bfc4f0258b,1,0,114.056435,30.324966,,education,http://api.map.baidu.com/place/detail?uid=517b09b6c18c89bfc4f0258b&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,114.05643530175,30.324965756328,0
5c66e3a8583d90104afc8db7,武汉大学人民医院(经开医院),医疗,综合医院,湖北省,武汉市,汉南区,武汉市汉南区沙帽镇正街48号,5c66e3a8583d90104afc8db7,1,0,114.079606,30.319421,(027)84851406,hospital,http://api.map.baidu.com/place/detail?uid=5c66e3a8583d90104afc8db7&output=html&source=placeapi_v2,,08:00-17:30,0,,,,,,,3,0,,,,,,,114.08064955436,30.319359160061,0
8341488683e477f9d13ce315,武汉大学人民医院汉南医院门诊儿科母婴室,生活服务,其他,湖北省,武汉市,汉南区,武汉市汉南区纱帽正街武汉市汉南区人民医院(兴城大道),,1,0,114.079342,30.3203,,life,http://api.map.baidu.com/place/detail?uid=8341488683e477f9d13ce315&output=html&source=placeapi_v2,,,,,,,,,,1,,,,,,,,,,0
6d55d970fd13085f3362127d,湖北国土资源职业学院汉南新校区-继续教育学院,教育培训,其他,湖北省,武汉市,汉南区,湖北省武汉市汉南区育才路399号,6d55d970fd13085f3362127d,1,0,114.057014,30.324138,"(027)84731188,(027)84732288",education,http://api.map.baidu.com/place/detail?uid=6d55d970fd13085f3362127d&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,114.05706461866,30.323940964224,0
1b4f7d4c5935c95b0d3dda0b,武汉市广播电视大学(汉南区分校)-西南门,出入口,门,湖北省,武汉市,汉南区,武汉市汉南区育才路186号,1b4f7d4c5935c95b0d3dda0b,1,0,114.081229,30.31603,,life,http://api.map.baidu.com/place/detail?uid=1b4f7d4c5935c95b0d3dda0b&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
2b637e92ed2957bf54bfffcf,纱帽正街大学城金街,交通设施,公交车站,湖北省,武汉市,汉南区,237路内环;237路外环;238路;241路;243路;249路;272路,,0,0,114.058564,30.328536,,,http://map.baidu.com/,,,,,,,,,,,,,,,,,,,,0
f28f579ff71733cf28b97ce6,湖北国土资源职业学院新能源应用学院,教育培训,其他,湖北省,武汉市,汉南区,湖北省武汉市汉南区育才路399号,,1,0,114.056045,30.326366,(027)84731188,education,http://api.map.baidu.com/place/detail?uid=f28f579ff71733cf28b97ce6&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,114.05598315135,30.326697264629,0
4125682ffd4a003200ec0108,大学城・金街招商中心,公司企业,公司,湖北省,武汉市,汉南区,武汉市汉南区纱帽正街大学城・金街,4125682ffd4a003200ec0108,1,0,114.057463,30.328987,,enterprise,http://api.map.baidu.com/place/detail?uid=4125682ffd4a003200ec0108&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
b331b2800cda0e74c7f50d7e,华中科技大学同济医院托管医院,医疗,其他,湖北省,武汉市,汉南区,武汉市汉南区兴城大道275号附近,b331b2800cda0e74c7f50d7e,1,0,114.080557,30.319498,,hospital,http://api.map.baidu.com/place/detail?uid=b331b2800cda0e74c7f50d7e&output=html&source=placeapi_v2,,08:00-17:30,,,,,,,,,,,,,,,,114.08079751516,30.319400261615,0
431880a37d9b37774d2fdfb1,武汉大学人民医院(经开医院)-停车场,交通设施,停车场,湖北省,武汉市,汉南区,兴城大道275号武汉市汉南区人民医院内,,1,0,114.079,30.320037,,life,http://api.map.baidu.com/place/detail?uid=431880a37d9b37774d2fdfb1&output=html&source=placeapi_v2,,00:00-24:00,,,,,,,,,,,,,,,,,,0
7819f8dc79eb70edc61e519a,武汉市汉南区老年大学,教育培训,成人教育,湖北省,武汉市,汉南区,湖北省武汉市汉南区育才路11号,7819f8dc79eb70edc61e519a,1,0,114.083445,30.318245,,education,http://api.map.baidu.com/place/detail?uid=7819f8dc79eb70edc61e519a&output=html&source=placeapi_v2,,,0.0,,,,,,,,,,,,,,,114.08353140558,30.318416293511,0
fc82662d728bd395f7b916fb,武汉市汉南老年大学,教育培训,成人教育,湖北省,武汉市,汉南区,武汉市汉南区育才路武汉汉南客运站西北侧约40米,,1,0,114.085648,30.314813,,education,http://api.map.baidu.com/place/detail?uid=fc82662d728bd395f7b916fb&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,114.08558953309,30.314832024159,0
55041a43d7371e4ceedfcab4,武汉市汉南区老年大学-东北门,出入口,门,湖北省,武汉市,汉南区,武汉市汉南区育才路11号,55041a43d7371e4ceedfcab4,1,0,114.085535,30.314841,,life,http://api.map.baidu.com/place/detail?uid=55041a43d7371e4ceedfcab4&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
