uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
f5fba6ba6a6cb17bab0dd810,宏泰建材机电,购物,家居建材,湖北省,武汉市,汉南区,湖北省武汉市汉南区育才路16号,f5fba6ba6a6cb17bab0dd810,1,0,114.086614,30.314884,15902780358,shopping,http://api.map.baidu.com/place/detail?uid=f5fba6ba6a6cb17bab0dd810&output=html&source=placeapi_v2,,06:00-21:00,0,,,,,,,,1,,,,,,,114.08656328728,30.31481711249,0
d5f030e71cd7b1882b3a9fec,一新橱柜(朱家山路店),购物,家居建材,湖北省,武汉市,汉南区,湖北省武汉市汉南区朱家山路138号,d5f030e71cd7b1882b3a9fec,1,0,114.086461,30.320152,13627119968,shopping,http://api.map.baidu.com/place/detail?uid=d5f030e71cd7b1882b3a9fec&output=html&source=placeapi_v2,0.0,08:00-19:00,0,,,,,,,,1,,,,,,,114.08651370441,30.320237489259,0
88eb1098a6643e5c3c9a5e2c,饰美佳全房家居定制,购物,家居建材,湖北省,武汉市,汉南区,湖北省武汉市汉南区汉南大道775号,88eb1098a6643e5c3c9a5e2c,1,0,114.092678,30.324667,13476102839,shopping,http://api.map.baidu.com/place/detail?uid=88eb1098a6643e5c3c9a5e2c&output=html&source=placeapi_v2,,09:00-17:00,,,,,,,,,,,,,,,,114.09268882447,30.324771678043,0
5036a1c9c03452fd48cc4a7e,富强电动工具行(汉南店),购物,家居建材,湖北省,武汉市,汉南区,湖北省武汉市汉南区汉南大道614号,5036a1c9c03452fd48cc4a7e,1,0,114.091607,30.317786,15926248644,shopping,http://api.map.baidu.com/place/detail?uid=5036a1c9c03452fd48cc4a7e&output=html&source=placeapi_v2,,06:31-20:31,,,,,,,,,,,,,,,,114.09145658197,30.317755905907,0
eee1a096d3db940a4bcc4a21,新美家洁具灯饰城,购物,家居建材,湖北省,武汉市,汉南区,湖北省武汉市汉南区纱帽街中百仓储4楼,eee1a096d3db940a4bcc4a21,1,0,114.087471,30.31994,18971387149,shopping,http://api.map.baidu.com/place/detail?uid=eee1a096d3db940a4bcc4a21&output=html&source=placeapi_v2,,08:30-17:30,,,,,,,,,,,,,,,,,,0
2704ce7c2323001181a12e89,木真美品一站式服务中心全屋整装,购物,家居建材,湖北省,武汉市,汉南区,武汉市汉南区纱帽正街汉南区紫阳楚世家,,1,0,114.073464,30.323222,,shopping,http://api.map.baidu.com/place/detail?uid=2704ce7c2323001181a12e89&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
f60f94cd106d7f33902ca31b,汉南石材,购物,家居建材,湖北省,武汉市,汉南区,湖北省武汉市汉南区育才路136号,f60f94cd106d7f33902ca31b,1,0,114.083717,30.315512,,shopping,http://api.map.baidu.com/place/detail?uid=f60f94cd106d7f33902ca31b&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,114.08367085134,30.315407729562,0
9037257aebc48ce61911d559,永远电动工具,购物,家居建材,湖北省,武汉市,汉南区,湖北武汉市汉南区汉南大道752号,9037257aebc48ce61911d559,1,0,114.093033,30.320683,13545231310,shopping,http://api.map.baidu.com/place/detail?uid=9037257aebc48ce61911d559&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,114.09289002424,30.320738302051,0
cd720e9675b2cce982a12e60,窗帘世界(纱帽正街店),购物,家居建材,湖北省,武汉市,汉南区,武汉市汉南区纱帽正街素言印象假日酒店北侧约100米,cd720e9675b2cce982a12e60,1,0,114.089362,30.315989,,shopping,http://api.map.baidu.com/place/detail?uid=cd720e9675b2cce982a12e60&output=html&source=placeapi_v2,,,0,,,,,,,,1,,,,,,,,,0
56b4f6cbe7f5d2530482c253,汉盛装饰材料,购物,家居建材,湖北省,武汉市,汉南区,湖北省武汉市汉南区绿苑路50号,56b4f6cbe7f5d2530482c253,1,0,114.090181,30.316511,15172380625,shopping,http://api.map.baidu.com/place/detail?uid=56b4f6cbe7f5d2530482c253&output=html&source=placeapi_v2,,,0.0,,,,,,,,,,,,,,,,,0
ad39216505163a3dc51e51b3,立邦(碧栖路店),购物,家居建材,湖北省,武汉市,汉南区,湖北省武汉市汉南区汉南大道299号,ad39216505163a3dc51e51b3,1,0,114.087344,30.314788,"(027)84756961,18827631251",shopping,http://api.map.baidu.com/place/detail?uid=ad39216505163a3dc51e51b3&output=html&source=placeapi_v2,,08:30-17:30,5,,,,,,,,1,,,,,,,114.0874747377,30.314855383969,0
cbd79a2d8fba1cdc95f08c36,鹰冠板材批发,购物,家居建材,湖北省,武汉市,汉南区,武汉市汉南区汉南大道梦泽园东南侧约170米,cbd79a2d8fba1cdc95f08c36,1,0,114.093635,30.323704,"13986168484,18971393139",shopping,http://api.map.baidu.com/place/detail?uid=cbd79a2d8fba1cdc95f08c36&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,114.09362615597,30.323665627763,0
063ead9b6d8abf942806cec7,皇家布艺门窗(审核中),购物,家居建材,湖北省,武汉市,汉南区,湖北省武汉市汉南区兴一路御景华府一期9-5号,063ead9b6d8abf942806cec7,1,0,114.089063,30.327504,13407121330,shopping,http://api.map.baidu.com/place/detail?uid=063ead9b6d8abf942806cec7&output=html&source=placeapi_v2,,,5,,,,,,,,1,,,,,,,114.08894772517,30.327532041002,0
f18802c68893f02402897263,东成专业电动工具(桂庄路店),购物,家居建材,湖北省,武汉市,汉南区,湖北省武汉市汉南区汉南大道206号,f18802c68893f02402897263,1,0,114.086652,30.309836,15007194101,shopping,http://api.map.baidu.com/place/detail?uid=f18802c68893f02402897263&output=html&source=placeapi_v2,,08:00-19:00,,,,,,,,,,,,,,,,,,0
b053969548f3319a6d3e1ba5,鑫兴石材(武汉市汉南区国土资源管理局纱帽国土资源管理所西),购物,家居建材,湖北省,武汉市,汉南区,武汉市汉南区汉南大道江湾华庭北侧约160米,,1,0,114.081695,30.305591,,shopping,http://api.map.baidu.com/place/detail?uid=b053969548f3319a6d3e1ba5&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
3bd6cfeb9c49b6b2c4f025f8,南方寝饰(百花街店),购物,家居建材,湖北省,武汉市,汉南区,湖北省武汉市汉南区汉南大道410号,3bd6cfeb9c49b6b2c4f025f8,1,0,114.088287,30.314428,13545126606,shopping,http://api.map.baidu.com/place/detail?uid=3bd6cfeb9c49b6b2c4f025f8&output=html&source=placeapi_v2,,08:30-21:00,0,,,,,,,,0,,,,,,,114.08828692176,30.314622972198,0
522d99b85dfcb0924c3a59a2,旺达彩钢,购物,家居建材,湖北省,武汉市,汉南区,武汉市汉南区汉南大道江湾华庭北侧约160米,,1,0,114.08212,30.305619,"18871177635,18871177636",shopping,http://api.map.baidu.com/place/detail?uid=522d99b85dfcb0924c3a59a2&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,114.08207240561,30.305604344739,0
d0af0379122076b4f219376e,创美窗帘城,购物,家居建材,湖北省,武汉市,汉南区,湖北省武汉市汉南区汉南大道746号,d0af0379122076b4f219376e,1,0,114.092953,30.320547,13995545485,shopping,http://api.map.baidu.com/place/detail?uid=d0af0379122076b4f219376e&output=html&source=placeapi_v2,,08:00-21:00,1,,,,,,,,2,,,,,,,114.09282076219,30.320596459522,0
61ea0d249e0a955143024517,兴洲橱柜石材,购物,家居建材,湖北省,武汉市,汉南区,湖北省武汉市汉南区汉南大道871号,61ea0d249e0a955143024517,1,0,114.093222,30.326154,"13659868881,13971470030",shopping,http://api.map.baidu.com/place/detail?uid=61ea0d249e0a955143024517&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,114.09338937521,30.32614454932,0
d8c7e7ced2a86e50a8059d1b,百荷窗帘布艺,购物,家居建材,湖北省,武汉市,汉南区,武汉市汉南区碧霞路兴业佳园东南侧约40米,d8c7e7ced2a86e50a8059d1b,1,0,114.08775,30.31985,,shopping,http://api.map.baidu.com/place/detail?uid=d8c7e7ced2a86e50a8059d1b&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
1a17e8a0379709d3e9f853a9,欧联卫浴(何家畈路店),购物,家居建材,湖北省,武汉市,汉南区,湖北武汉市汉南区纱帽街139-7号,1a17e8a0379709d3e9f853a9,1,0,114.092809,30.325661,,shopping,http://api.map.baidu.com/place/detail?uid=1a17e8a0379709d3e9f853a9&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
7bc694ad112e1aa58e772783,床上用品毛巾批发,购物,家居建材,湖北省,武汉市,汉南区,武汉市汉南区汉南大道开来百花苑西北侧约60米,7bc694ad112e1aa58e772783,1,0,114.086687,30.310228,,shopping,http://api.map.baidu.com/place/detail?uid=7bc694ad112e1aa58e772783&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
b34d49e53c13c53210293521,马可波罗瓷砖(兴一路店),购物,家居建材,湖北省,武汉市,汉南区,武汉市汉南区兴一路附1号(御景华府1-12号商铺),b34d49e53c13c53210293521,1,0,114.08944,30.328485,(027)84757399,shopping,http://api.map.baidu.com/place/detail?uid=b34d49e53c13c53210293521&output=html&source=placeapi_v2,,08:30-18:00,,,,,,,,,,,,,,,,,,0
