uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
3d7e354018da461717a1907b,汉南供电公司生产调度综合楼,房地产,写字楼,湖北省,武汉市,汉南区,武汉市汉南区兴城大道(清华园旁边),3d7e354018da461717a1907b,1,0,114.081801,30.321417,,house,http://api.map.baidu.com/place/detail?uid=3d7e354018da461717a1907b&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
ffd6d4036d4b578f17b54be8,农科大厦,房地产,写字楼,湖北省,武汉市,汉南区,武汉市汉南区薇湖路197号,ffd6d4036d4b578f17b54be8,1,0,114.088887,30.311988,,house,http://api.map.baidu.com/place/detail?uid=ffd6d4036d4b578f17b54be8&output=html&source=placeapi_v2,,,4,,,,,,,,,,,,,,,114.08865211888,30.312233135157,0
161a0ed28eabf1535cd4fe20,汉武大厦,房地产,写字楼,湖北省,武汉市,汉南区,武汉市汉南区滨江路315号,161a0ed28eabf1535cd4fe20,1,0,114.090611,30.310894,,house,http://api.map.baidu.com/place/detail?uid=161a0ed28eabf1535cd4fe20&output=html&source=placeapi_v2,,,0,,,,,,,,,,,,,,,114.09077813853,30.310684358845,0
041fc1ffefe0ee4acd04ef2b,纱帽水厂综合楼,房地产,写字楼,湖北省,武汉市,汉南区,湖北省武汉市汉南区纱帽滨江路汉武大厦(纱帽江滩公园附近),041fc1ffefe0ee4acd04ef2b,1,0,114.089084,30.309519,,house,http://api.map.baidu.com/place/detail?uid=041fc1ffefe0ee4acd04ef2b&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,114.0894794879,30.309488993468,0
214ba6482bf84e9995f08cbf,圣特立商务中心,房地产,写字楼,湖北省,武汉市,汉南区,武汉市汉南区月亮湾路圣特立·国际花园-A区,214ba6482bf84e9995f08cbf,1,0,114.084739,30.323408,,house,http://api.map.baidu.com/place/detail?uid=214ba6482bf84e9995f08cbf&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,114.08462194667,30.323224432728,0
d4034eb397cb08f6c03644e8,汉莎大厦,房地产,写字楼,湖北省,武汉市,汉南区,湖北省武汉市汉南区纱帽正街112号,d4034eb397cb08f6c03644e8,1,0,114.091988,30.314767,,house,http://api.map.baidu.com/place/detail?uid=d4034eb397cb08f6c03644e8&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,114.09226466617,30.314605536983,0
b62a8d1fd34ffcced6b74e11,南泰大厦,房地产,写字楼,湖北省,武汉市,汉南区,武汉市汉南区纱河南路南色鑫空,b62a8d1fd34ffcced6b74e11,1,0,114.092732,30.321819,,house,http://api.map.baidu.com/place/detail?uid=b62a8d1fd34ffcced6b74e11&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
0a727db52af03431ebe58224,营销中心,房地产,写字楼,湖北省,武汉市,汉南区,武汉市汉南区纱帽正街大学城·金街,,1,0,114.057482,30.328992,,house,http://api.map.baidu.com/place/detail?uid=0a727db52af03431ebe58224&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
4e22495f11f2f57f018972db,绿地国际创客中心,房地产,写字楼,湖北省,武汉市,汉南区,武汉市汉南区绿地城东100米欧镇奥特莱斯F1,,1,0,114.070818,30.340944,,house,http://api.map.baidu.com/place/detail?uid=4e22495f11f2f57f018972db&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
10ec47baea05f91f9b68b433,城粮综合商住楼,房地产,写字楼,湖北省,武汉市,江夏区,武汉市江夏区中兴街纸坊第二小学,10ec47baea05f91f9b68b433,1,0,114.322561,30.351093,,house,http://api.map.baidu.com/place/detail?uid=10ec47baea05f91f9b68b433&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
186e3cdd8678bfce43e192ef,楚天大厦,房地产,写字楼,湖北省,武汉市,江夏区,湖北省武汉市江夏区文化大道37号,186e3cdd8678bfce43e192ef,1,0,114.328377,30.370293,18107267375,house,http://api.map.baidu.com/place/detail?uid=186e3cdd8678bfce43e192ef&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,114.32889881257,30.371199799478,0
15e1e85eb29888a158109323,凡华大楼,房地产,写字楼,湖北省,武汉市,江夏区,武汉市江夏区西交路60号,15e1e85eb29888a158109323,1,0,114.315652,30.351393,,house,http://api.map.baidu.com/place/detail?uid=15e1e85eb29888a158109323&output=html&source=placeapi_v2,,,3,,,,,,,,,,,,,,,114.31555683958,30.351277407975,0
48eb005832cdb0ad2fe67bdf,物资大厦,房地产,写字楼,湖北省,武汉市,江夏区,武汉市江夏区尚城新界2栋1702号,48eb005832cdb0ad2fe67bdf,1,0,114.314466,30.356625,,house,http://api.map.baidu.com/place/detail?uid=48eb005832cdb0ad2fe67bdf&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,114.31455699051,30.356810821537,0
d219bb1d7721628bf50e77df,宝恒大厦,房地产,写字楼,湖北省,武汉市,江夏区,武汉市江夏区复江道170号,d219bb1d7721628bf50e77df,1,0,114.320729,30.356453,,house,http://api.map.baidu.com/place/detail?uid=d219bb1d7721628bf50e77df&output=html&source=placeapi_v2,,,0,,,,,,,,,,,,,,,114.32079007643,30.356670595321,0
6108521183dc59a1c51b75df,江夏建管大楼,房地产,写字楼,湖北省,武汉市,江夏区,文化路7号,6108521183dc59a1c51b75df,1,0,114.330487,30.358554,,house,http://api.map.baidu.com/place/detail?uid=6108521183dc59a1c51b75df&output=html&source=placeapi_v2,,,0,,,,,,,,,,,,,,,114.33049348002,30.358427900281,0
e207921cf108967c091cc7df,民主党派办公楼,房地产,写字楼,湖北省,武汉市,江夏区,湖北省武汉市江夏区沙羡街34号,e207921cf108967c091cc7df,1,0,114.322669,30.359931,,house,http://api.map.baidu.com/place/detail?uid=e207921cf108967c091cc7df&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,114.32268248185,30.359747635329,0
cf66a05aaba0c8d05fbe86f9,江夏社保大楼,房地产,写字楼,湖北省,武汉市,江夏区,湖北省武汉市江夏区北华街42号,cf66a05aaba0c8d05fbe86f9,1,0,114.321512,30.363256,,house,http://api.map.baidu.com/place/detail?uid=cf66a05aaba0c8d05fbe86f9&output=html&source=placeapi_v2,,,0,,,,,,,,,,,,,,,114.32126183954,30.363211018393,0
89c2cc15adbe4c0d9f09f765,江电大厦,房地产,写字楼,湖北省,武汉市,江夏区,武汉市江夏区西交路199号,89c2cc15adbe4c0d9f09f765,1,0,114.315066,30.353434,,house,http://api.map.baidu.com/place/detail?uid=89c2cc15adbe4c0d9f09f765&output=html&source=placeapi_v2,,,3,,,,,,,,,,,,,,,114.31532290735,30.353155566493,0
2604ab8d775fcd9646e274e2,亲水大厦,房地产,写字楼,湖北省,武汉市,江夏区,文化路36号,2604ab8d775fcd9646e274e2,1,0,114.329656,30.36977,,house,http://api.map.baidu.com/place/detail?uid=2604ab8d775fcd9646e274e2&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,114.32966675778,30.369721245139,0
7daa4f28c028266c7702692c,江夏烟草大楼,房地产,写字楼,湖北省,武汉市,江夏区,武汉市江夏区北华街55号,7daa4f28c028266c7702692c,1,0,114.320792,30.362365,,house,http://api.map.baidu.com/place/detail?uid=7daa4f28c028266c7702692c&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,114.32094326896,30.362588903624,0
395a266b42d5afaaf50e77d4,江夏城关村综合大楼,房地产,写字楼,湖北省,武汉市,江夏区,湖北省武汉市江夏区湖北江夏区城关村综合大楼,395a266b42d5afaaf50e77d4,1,0,114.339895,30.358326,,house,http://api.map.baidu.com/place/detail?uid=395a266b42d5afaaf50e77d4&output=html&source=placeapi_v2,,,3,,,,,,,,,,,,,,,114.33954104424,30.358539427424,0
2c7e4b28262f33ec77026966,九鼎商务楼,房地产,写字楼,湖北省,武汉市,江夏区,武汉市江夏区熊廷弼街物资大厦,2c7e4b28262f33ec77026966,1,0,114.314604,30.356735,,house,http://api.map.baidu.com/place/detail?uid=2c7e4b28262f33ec77026966&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,114.31477382529,30.356764818156,0
1c4024583de2f15396f08c0b,中国人寿保险大楼,房地产,写字楼,湖北省,武汉市,江夏区,湖北省武汉市江夏区纸坊街道复江道301号,,1,0,114.320498,30.359009,,house,http://api.map.baidu.com/place/detail?uid=1c4024583de2f15396f08c0b&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,114.32064915206,30.358995623604,0
85dafd80aa3876ff593ac895,城峰乐居大厦,房地产,写字楼,湖北省,武汉市,江夏区,武汉市江夏区纸坊大街929号,85dafd80aa3876ff593ac895,1,0,114.317711,30.348591,,house,http://api.map.baidu.com/place/detail?uid=85dafd80aa3876ff593ac895&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,114.31766155771,30.348859323348,0
0058610800d430a546e274df,农资大厦,房地产,写字楼,湖北省,武汉市,江夏区,武汉市江夏区武昌大道778号,0058610800d430a546e274df,1,0,114.315448,30.358398,13554050253,house,http://api.map.baidu.com/place/detail?uid=0058610800d430a546e274df&output=html&source=placeapi_v2,,,0,,,,,,,,,,,,,,,114.31545916143,30.358429866948,0
cb640c793ad78412c26c14b7,规化局大楼,房地产,写字楼,湖北省,武汉市,江夏区,湖北省武汉市江夏区北华街42号,cb640c793ad78412c26c14b7,1,0,114.321081,30.363262,,house,http://api.map.baidu.com/place/detail?uid=cb640c793ad78412c26c14b7&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
5f5876f5e0eaf79fe011037b,江夏信合大楼,房地产,写字楼,湖北省,武汉市,江夏区,武汉市江夏区纸坊大街682号,5f5876f5e0eaf79fe011037b,1,0,114.311777,30.347945,,house,http://api.map.baidu.com/place/detail?uid=5f5876f5e0eaf79fe011037b&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,114.31182697988,30.347693834891,0
