uid,name,cat_L1,cat_L2,province,city,area,address,street_id,detail,child_num,loc_lng,loc_lat,telephone,type,detail_url,price,shop_hours,overall_rating,taste_rating,service_rating,environment_rating,facility_rating,hygiene_rating,technology_rating,image_num,comment_num,groupon_num,discount_num,favorite_num,checkin_num,brand,content_tag,naviloc_lng,naviloc_lat,child_num
ef313a8dfa7c9bdcd6b74e9f,武汉罐子把农庄,美食,中餐厅,湖北省,武汉市,汉南区,湖北省武汉市汉南区S13(汉洪高速),,1,0,114.035226,30.333958,,cater,http://api.map.baidu.com/place/detail?uid=ef313a8dfa7c9bdcd6b74e9f&output=html&source=placeapi_v2,,,3.0,,,,,,,,0,,,,,,,,,0
fa01fd4b6140e3d5c4f50dbc,台湾苏示牛排(汉南店),美食,外国餐厅,湖北省,武汉市,汉南区,湖北省武汉市汉南区兴城大道圣特立国际花园a区10-4铺,fa01fd4b6140e3d5c4f50dbc,1,0,114.085511,30.323057,18674875720,cater,http://api.map.baidu.com/place/detail?uid=fa01fd4b6140e3d5c4f50dbc&output=html&source=placeapi_v2,,11:00-21:30,3.6,,,,,,,,0,,,,,,,114.08542368793,30.322896334497,0
99c46bc6351d1f844e5547c8,卡斯摩手工披萨,美食,外国餐厅,湖北省,武汉市,汉南区,湖北省武汉市汉南区薇湖路403号,99c46bc6351d1f844e5547c8,1,0,114.081875,30.31261,13971499699,cater,http://api.map.baidu.com/place/detail?uid=99c46bc6351d1f844e5547c8&output=html&source=placeapi_v2,23.0,11:00-23:00,0,,,,,,,,1,,,,,,,,,0
e7d40b6f77d8644e4251c003,萨兰尼(东亭郡园店),美食,外国餐厅,湖北省,武汉市,汉南区,武汉市汉南区纱帽街兴城大道兴一路东亭郡园住宅小区2-4号楼1-17号1楼世纪华联超市内,,1,0,114.089072,30.32876,,cater,http://api.map.baidu.com/place/detail?uid=e7d40b6f77d8644e4251c003&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
07ea47d530841dc329fc4899,沙县小吃,美食,小吃快餐店,湖北省,武汉市,江夏区,武汉市江夏区金口街永胜村还建楼15-16号门,07ea47d530841dc329fc4899,1,0,114.152106,30.333039,15079504239,cater,http://api.map.baidu.com/place/detail?uid=07ea47d530841dc329fc4899&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
854de01a25753e053be4a6c6,天天有鱼家常菜馆(金口大道店),美食,中餐厅,湖北省,武汉市,江夏区,武汉市江夏区金口街淮山村还建楼三单元一层101-一号,,1,0,114.153982,30.337139,18210829379,cater,http://api.map.baidu.com/place/detail?uid=854de01a25753e053be4a6c6&output=html&source=placeapi_v2,,09:00-21:00,5,,,,,,,,3,,,,,,,,,0
637c3cfcfb79d90d5e17c3be,本味农家菜,美食,中餐厅,湖北省,武汉市,江夏区,湖北省武汉市江夏区S102(金口大道),,1,0,114.153492,30.337331,18062113216,cater,http://api.map.baidu.com/place/detail?uid=637c3cfcfb79d90d5e17c3be&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
bd4241521d2e4dc3b01e3681,普仁鲜满汇,美食,中餐厅,湖北省,武汉市,江夏区,武汉市江夏区物流大道武汉海吉星农产品物流园,,1,0,114.279865,30.319071,,cater,http://api.map.baidu.com/place/detail?uid=bd4241521d2e4dc3b01e3681&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
ec646220e639fc56f503b8ae,兴家坡农家菜馆,美食,中餐厅,湖北省,武汉市,江夏区,廖桥村9组,,1,0,114.271922,30.312444,18071064956,cater,http://api.map.baidu.com/place/detail?uid=ec646220e639fc56f503b8ae&output=html&source=placeapi_v2,,09:00-21:00,5,,,,,,,,1,,,,,,,114.27176325212,30.312411899753,0
36e75355432448b21811d55a,尚品坊(107国道店),美食,中餐厅,湖北省,武汉市,江夏区,武汉市江夏区107国道兴家坡农家菜馆东南侧150米,36e75355432448b21811d55a,1,0,114.272627,30.310349,"(027)87977907,18963951712",cater,http://api.map.baidu.com/place/detail?uid=36e75355432448b21811d55a&output=html&source=placeapi_v2,12.0,00:00-24:00,5,,,,,,,,2,,,,,,,114.27237149927,30.310255758912,0
aedf505bf408408040ab9aff,周师傅三鲜粉面馆,美食,小吃快餐店,湖北省,武汉市,江夏区,湖北省武汉市江夏区郑店107国道(张宜城综合超市旁),,1,0,114.272018,30.311741,15926331780,cater,http://api.map.baidu.com/place/detail?uid=aedf505bf408408040ab9aff&output=html&source=placeapi_v2,,06:00-12:00,3.4,,,,,,,,0,,,,,,,114.27194224219,30.311722926825,0
09dce355754dca7c8c55ec3e,特色纸上烤鱼,美食,中餐厅,湖北省,武汉市,江夏区,武汉市江夏区郑店路武汉市郑店派出所南侧约220米,,1,0,114.267847,30.331681,"13995677272,15098064448",cater,http://api.map.baidu.com/place/detail?uid=09dce355754dca7c8c55ec3e&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,114.26785411669,30.331796224469,0
79bdaaeb5f039a2fb5f42f12,正宗兰州牛肉拉面刀削面,美食,小吃快餐店,湖北省,武汉市,江夏区,武汉市江夏区郑店路武汉市郑店派出所东南侧约210米,,1,0,114.26817,30.331944,13349888075,cater,http://api.map.baidu.com/place/detail?uid=79bdaaeb5f039a2fb5f42f12&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
14b03cb04b8fd4dcab175ae0,武汉市银辉粉丝厂,美食,小吃快餐店,湖北省,武汉市,江夏区,湖北省武汉市江夏区郑店街郑家老屋,,1,0,114.268918,30.333396,13037137895,cater,http://api.map.baidu.com/place/detail?uid=14b03cb04b8fd4dcab175ae0&output=html&source=placeapi_v2,,08:00-20:00,,,,,,,,,1,,,,,,,,,0
b3c2e324ab0358045e0d02d2,十里有家小厨,美食,中餐厅,湖北省,武汉市,江夏区,湖北省武汉市江夏区郑店街劳一村石洞王54号,b3c2e324ab0358045e0d02d2,1,0,114.282837,30.337054,17786574355,cater,http://api.map.baidu.com/place/detail?uid=b3c2e324ab0358045e0d02d2&output=html&source=placeapi_v2,,07:00-20:30,,,,,,,,,,,,,,,,114.28288651471,30.336919543911,0
e95bd5cd253dc5378bdb7340,杰杰美食经济小炒,美食,中餐厅,湖北省,武汉市,江夏区,武汉市江夏区郑店路武汉市郑店派出所南侧约180米,,1,0,114.267343,30.331967,15972945705,cater,http://api.map.baidu.com/place/detail?uid=e95bd5cd253dc5378bdb7340&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
e54c63e5c60e2409213bf21d,祥胜农庄,美食,中餐厅,湖北省,武汉市,江夏区,武汉市江夏区青龙南路江夏区纸坊街胜利小学北侧约260米,e54c63e5c60e2409213bf21d,1,0,114.322552,30.32549,,cater,http://api.map.baidu.com/place/detail?uid=e54c63e5c60e2409213bf21d&output=html&source=placeapi_v2,,09:00-21:00,,,,,,,,,1,,,,,,,114.32256912198,30.325351640222,0
9d30b222c5ca329c4e5547f1,桔子红烤全羊(江夏环山绿道店),美食,中餐厅,湖北省,武汉市,江夏区,武汉市江夏区环山路北50米,9d30b222c5ca329c4e5547f1,1,0,114.33715,30.327699,13037138281,cater,http://api.map.baidu.com/place/detail?uid=9d30b222c5ca329c4e5547f1&output=html&source=placeapi_v2,,09:00-20:00,3.7,,,,,,,,4,,,,,,,114.33736028724,30.328344747746,0
ea173d8f47ddbe46471a32f6,卤卤印象,美食,小吃快餐店,湖北省,武汉市,江夏区,武汉市江夏区纸贺线江北路幼儿园南侧约260米,,1,0,114.311371,30.326709,15827270941,cater,http://api.map.baidu.com/place/detail?uid=ea173d8f47ddbe46471a32f6&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
82d473d3fdff168588db7327,发小农庄,美食,中餐厅,湖北省,武汉市,江夏区,湖北省武汉市江夏区武梁路腾飞隆生态园内,,1,0,114.434187,30.309763,,cater,http://api.map.baidu.com/place/detail?uid=82d473d3fdff168588db7327&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,114.43393116134,30.309641184546,0
16f4ed6f9db4aa2108ccdd5a,三将餐厅,美食,中餐厅,湖北省,武汉市,汉南区,武汉市汉南区文化路乌金山社区东北侧约30米,,1,0,114.060637,30.351491,,cater,http://api.map.baidu.com/place/detail?uid=16f4ed6f9db4aa2108ccdd5a&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
57f634a2df9939fa2cb908de,老农场餐厅,美食,中餐厅,湖北省,武汉市,汉南区,武汉市汉南区文化路乌金山社区东北侧约40米,,1,0,114.061602,30.351054,,cater,http://api.map.baidu.com/place/detail?uid=57f634a2df9939fa2cb908de&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
ef6e467a78ff35454f3a5910,小四川餐厅(马影河大道店),美食,中餐厅,湖北省,武汉市,汉南区,武汉市汉南区东荆街碧桂园峰悦3-2号铺,ef6e467a78ff35454f3a5910,1,0,114.087538,30.356945,15872066541,cater,http://api.map.baidu.com/place/detail?uid=ef6e467a78ff35454f3a5910&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,114.08755902211,30.356901480355,0
92234c7b30c72b859d82ea4a,大众餐厅(乌金农场乌金山社区店),美食,中餐厅,湖北省,武汉市,汉南区,湖北省武汉市汉南区东荆街道永清路乌金农场乌金山社区旁,,1,0,114.059217,30.351524,13100645239,cater,http://api.map.baidu.com/place/detail?uid=92234c7b30c72b859d82ea4a&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
6d9ada402c10384a7369d30e,七月家餐饮复合坊(奥特莱斯店),美食,中餐厅,湖北省,武汉市,汉南区,湖北省武汉市汉南区马影河大道19号欧镇奥特莱斯B区2号楼1号铺,6d9ada402c10384a7369d30e,1,0,114.070243,30.341951,18672322592,cater,http://api.map.baidu.com/place/detail?uid=6d9ada402c10384a7369d30e&output=html&source=placeapi_v2,,10:00-21:00,3.5,,,,,,,,0,,,,,,,,,0
f2559c9d5adcd53681288a34,常青麦香园(马影河大道店),美食,小吃快餐店,湖北省,武汉市,汉南区,武汉市汉南区马影河大道武汉碧桂园翠堤春晓西南侧约290米,f2559c9d5adcd53681288a34,1,0,114.087332,30.356918,15271924716,cater,http://api.map.baidu.com/place/detail?uid=f2559c9d5adcd53681288a34&output=html&source=placeapi_v2,,10:00-22:00,3.4,,,,,,,,,,,,,,,114.08745525884,30.356863004215,0
f0b22d91acb6203a744ff13b,蒸品汇(绿地城奥特莱斯店),美食,中餐厅,湖北省,武汉市,汉南区,湖北省武汉市汉南区绿地城东区南侧绿地城奥特莱斯F1,f0b22d91acb6203a744ff13b,1,0,114.068756,30.339609,13995645956,cater,http://api.map.baidu.com/place/detail?uid=f0b22d91acb6203a744ff13b&output=html&source=placeapi_v2,,10:00-22:00,3.6,,,,,,,,0,,,,,,,114.0687288552,30.339676335373,0
109f8955df8638e522f01744,陈记公安牛肉鱼杂(马影河大道店),美食,中餐厅,湖北省,武汉市,汉南区,湖北省武汉市汉南区商业街风情3号楼114号,,1,0,114.09376,30.357122,(027)84857778,shopping,http://api.map.baidu.com/place/detail?uid=109f8955df8638e522f01744&output=html&source=placeapi_v2,,"09:30-14:00,16:30-21:30",,,,,,,,,1,,,,,,,,,0
299c8b0b49fbc2dd8bfc0681,东北饺子馆(碧桂园店),美食,小吃快餐店,湖北省,武汉市,汉南区,湖北省武汉市汉南区东荆街碧桂园峰景1号楼14号,,1,0,114.088095,30.356747,18404546575,cater,http://api.map.baidu.com/place/detail?uid=299c8b0b49fbc2dd8bfc0681&output=html&source=placeapi_v2,,00:00-24:00,3.5,,,,,,,,,,,,,,,,,0
ea6b8775b019c2450b69d9a5,川香缘(永清路店),美食,中餐厅,湖北省,武汉市,汉南区,湖北省武汉市汉南区乌金农场乌金山社区(永清路西),ea6b8775b019c2450b69d9a5,1,0,114.060928,30.351018,13476101530,cater,http://api.map.baidu.com/place/detail?uid=ea6b8775b019c2450b69d9a5&output=html&source=placeapi_v2,,,3.4,,,,,,,,,,,,,,,,,0
5bb0bbc2201474879de3211d,土厨子家味馆,美食,中餐厅,湖北省,武汉市,汉南区,武汉市汉南区马影河大道武汉碧桂园翠堤春晓东南侧约80米,5bb0bbc2201474879de3211d,1,0,114.093597,30.357165,"(027)84391699,18771035206",cater,http://api.map.baidu.com/place/detail?uid=5bb0bbc2201474879de3211d&output=html&source=placeapi_v2,,08:00-22:00,5,,,,,,,,1,,,,,,,114.09361517238,30.357021757954,0
502297e9cf1113395e0d0282,兰州国平牛肉拉面,美食,小吃快餐店,湖北省,武汉市,汉南区,湖北省武汉市汉南区马影河大道3-109号,502297e9cf1113395e0d0282,1,0,114.093869,30.357688,18696147541,cater,http://api.map.baidu.com/place/detail?uid=502297e9cf1113395e0d0282&output=html&source=placeapi_v2,,07:00-21:00,5,,,,,,,,2,,,,,,,,,0
5b604f2e254b89725a3ac8d0,再回首酒家,美食,中餐厅,湖北省,武汉市,汉南区,东荆街乌金山社区永清苑10-12号,,1,0,114.060145,30.351025,15871811222,cater,http://api.map.baidu.com/place/detail?uid=5b604f2e254b89725a3ac8d0&output=html&source=placeapi_v2,,,,,,,,,,,,,,,,,,,,0
